city,frequency,latitude,longitude
"Woodridge, IL",1,41.7563344,-88.045559
"Aptos, CA",1,36.993645,-121.8919498
"Phoenix, AZ",1,33.4484367,-112.074141
"Laguna Beach, CA",1,33.5426975,-117.785366
"Cedarburg, WI",1,43.2966545,-87.9875348
"Minneapolis, MN",1,44.9772995,-93.2654692
"New York City, NY",1,40.7127281,-74.0060152
"Medina, WA",1,47.620548,-122.2264453
"O'Faffon, MO",1,0,0
"Albany, CA",1,37.88687,-122.2977475
"Bozeman, MT",1,45.6794293,-111.044047
"Rocklin, CA",1,38.7907339,-121.2357828
"Round Rock, TX",1,30.5085915,-97.6788056
"Coral Gables, FL",1,25.6915434,-80.23454887
"Costa Mesa, CA",1,33.6636611,-117.9194652
"Tiburon, CA",1,37.8844389,-122.454565
"Kitchener, CA",1,43.451291,-80.4927815
"Green Cove Springs, FL",1,29.98338515,-81.67472319
"Carbondale, CO",1,37.7274692,-89.216655
"Carlsbad, CA",1,33.1580933,-117.3505966
"Hillsboro, OR",1,45.5228939,-122.989827
"Bloomington, IN",1,39.1670396,-86.5342881
"Clayton, CA",1,37.9410341,-121.9357925
"Antioch, CA",1,38.0049214,-121.805789
"Brighton, CO",1,39.983721,-104.8110775
"Golden, CO",1,39.7546349,-105.2205809
"Burlington, VT",1,44.4761601,-73.212906
"Bonita Springs, FL",1,26.339806,-81.7786972
"Lodi, CA",1,38.1301968,-121.2724473
"Mechanicsville, VA",1,37.6276923,-77.3538133
"Glen Allen, VA",1,37.664879,-77.48712357
"Caseyville, IL",1,38.6367162,-90.0256606
"Bothell, WA",1,47.7598697,-122.2068288
"Fort Worth, TX",1,32.753177,-97.3327459
"Durnham, NC",1,42.628358,-83.386259
"Rowayton, CT",1,41.0777255,-73.4442745
"Chico, CA",1,39.7284945,-121.8374777
"Monmouth Junction, NJ",1,40.3840222,-74.53308403
"Westminister, CO",1,32.8270842,-83.6996266
"Ventura, CA",1,34.4458248,-119.0779359
"Martinez, CA",1,38.0138934,-122.1338674
"Mt. Holly, NC",1,35.2976298,-81.0161686
"Pineville, NC",1,35.0855409,-80.8871253
"Cotati, CA",1,38.3266798,-122.706844
"Sunnyside, NY",1,40.7398242,-73.9354153
"Tinton Falls, NJ",1,40.2890734,-74.0927967
"Waxhaw, NC",1,34.9248125,-80.7440174
"Lexington, MA",1,38.0464066,-84.4970393
"Mooresboro, NC",2,35.3008905,-81.69856388
"Fox Point, WI",2,43.1575827,-87.9017501
"Alamo, CA",2,37.855102,-122.0066696
"Ann Arbor, MI",2,42.2681569,-83.7312291
"Carmel, IN",2,39.9788017,-86.1189257
"Brownsburg, IN",2,39.8433769,-86.3977736
"Concord, NC",2,35.4094178,-80.5800049
"Cape Coral, FL",2,26.6059432,-81.9806771
"West Chester, PA",2,39.9597213,-75.6059638
"Jersey City, NJ",2,40.7215682,-74.047455
"Littleton, CO",2,39.613321,-105.016649
"Daly City, CA",2,37.6904826,-122.47267
"Henderson, NV",2,36.0301134,-114.9826194
"North Brunswick, NJ",2,40.44560135,-74.489296
"Arlington, TX",2,32.701939,-97.10562379
"Mission Bay, CA",2,37.7707742,-122.3911712
"Beaverton, OR",2,45.4871723,-122.80378
"Moss Beach, CA",2,37.5201195,-122.509669
"Manhattan Beach, CA",2,33.8915985,-118.3951241
"Richmond, CA",2,37.9357576,-122.347748
"Rock Hill, SC",2,34.9248667,-81.0250784
"Livermore, CA",2,37.6820583,-121.7680531
"Davis, CA",2,38.545379,-121.744583
"Fresh Meadows, NY",2,40.7348246,-73.7934668
"Temple City, CA",2,34.1082994,-118.0577568
"North Andover, MA",2,42.6839894,-71.1127065
"South Lake Tahoe, CA",2,38.9332411,-119.9843482
"Dawsonville, GA",2,34.4212053,-84.1190804
"Half Moon Bay, CA",2,37.4635519,-122.428586
"Chicago, IL",2,41.8755616,-87.6244212
"Issaquah, WA",2,47.5348778,-122.0432974
"Lake Saint Louis, MO",2,38.77710155,-90.80858275
"Plano, TX",2,33.0136764,-96.6925096
"Larkspur, CA",2,37.9340915,-122.5352539
"Frederick, MD",2,39.415779,-77.4127562
"Mount Airy, MD",2,39.3765918,-77.1549078
"Potomac, MD",2,39.0180508,-77.19563314
"Los Gatos, CA",2,37.226611,-121.9746797
"University Park, PA",2,40.803448,-77.85442353
"Davidson, NC",2,35.4992614,-80.8485218
"Montpelier, VT",2,44.2602164,-72.575114
"Aspinwall, PA",2,40.491242,-79.9035096
"Brandon, FL",2,27.928464,-82.28805077
"Sebastopol, CA",2,38.4021127,-122.8242666
"Saint Paul, MN",2,44.9497487,-93.0931028
"San Leando, CA",2,0,0
"Las Vegas, NV",2,36.1672559,-115.148516
"Hastings-on-Hudson, NY",2,40.9946622,-73.8785922
"Savoy, IL",2,40.054753,-88.2517165
"Champaign, IL",2,40.1164841,-88.2430932
"Zephyr Cove, NV",2,39.0060103,-119.9472389
"Durham, NC",2,35.996653,-78.9018053
"Elmhurst, IL",2,41.8994745,-87.9403418
"Tega Cay, SC",2,35.024312,-81.0278546
"Leesburg, VA",2,39.1154496,-77.5645446
"Hillsborough, CA",2,37.557252,-122.3625291
"Fairfax, CA",2,37.9872935,-122.587967
"Long Island, NY",2,40.85149705,-73.09942581
"Corona, CA",2,33.8752945,-117.5664449
"Alpharetta, GA",3,34.0709576,-84.2747329
"Los Angeles, CA",3,34.0536909,-118.242766
"Lafayette, CA",3,37.8857582,-122.1180201
"State Road, NC",3,36.3259668,-80.8675723
"Campbell, CA",3,37.2870626,-121.9448818
"Parker, CO",3,33.0555687,-96.6220692
"Union City, CA",3,37.5963232,-122.0816297
"Wellesley, MA",3,42.2964859,-71.2925571
"Bend, OR",4,44.0581728,-121.3153096
"Louisville, CO",3,38.2542376,-85.759407
"Longmont, CO",3,40.1672117,-105.1019287
"Fords, NJ",3,40.5411231,-74.31652441
"Los Altos Hills, CA",3,37.3796627,-122.137463
"Sammamish, WA",3,47.6088445,-122.0423067
"Chesterfield, MO",3,38.661953,-90.5643258
"Columbus, OH",3,39.9622601,-83.0007065
"San Anselmo, CA",3,37.9744323,-122.561503
"Hercules, CA",3,38.0171441,-122.2885808
"Hayward, CA",3,37.6688205,-122.080796
"Pittsburgh, PA",3,40.4416941,-79.9900861
"Monroe, NC",3,34.9854275,-80.5495112
"San Fernando, CA",3,34.28497,-118.437652
"Fort Mill, SC",4,35.0073697,-80.9450759
"Newcastle, WA",4,47.5395736,-122.1563331
"Matthews, NC",4,35.1159532,-80.7224386
"Irvine, CA",5,33.6856969,-117.8259819
"El Cerrito, CA",4,33.8410146,-117.5207978
"Pleasant Hill, CA",4,37.9479786,-122.0607963
"Arlington, MA",4,32.701939,-97.10562379
"Newark, CA",4,37.5296593,-122.0402399
"Boston, MA",4,42.3602534,-71.0582912
"Raleigh, NC",4,35.7803977,-78.6390989
"Tremont, IL",4,40.5275392,-89.4925979
"Cupertino, CA",5,37.3228934,-122.0322895
"Indianapolis, IN",5,39.7683331,-86.1583502
"Saratoga, CA",5,37.2638324,-122.0230146
"Somerville, MA",5,42.3875968,-71.0994968
"Orinda, CA",5,37.8771476,-122.1796888
"Castro Valley, CA",5,37.71573685,-122.0906318
"Chevy Chase, MD",5,38.9825225,-77.088219
"Washington, DC",5,38.8950368,-77.0365427
"Emeryville, CA",6,37.8314089,-122.2865266
"Millbrae, CA",7,37.598958,-122.4009419
"Piedmont, CA",6,37.8243715,-122.231635
"Danville, CA",6,37.8215929,-121.99996
"Woodside, CA",6,37.4299388,-122.253855
"Moraga, CA",6,37.834897,-122.12883
"Milpitas, CA",8,37.4332273,-121.8989248
"Sausalito, CA",6,37.8590272,-122.485469
"Tucson, AZ",6,32.2228765,-110.9748477
"San Diego, CA",6,32.7174202,-117.1627728
"Denver, CO",6,39.7392364,-104.9848623
"Mill Valley, CA",7,37.9060368,-122.5449763
"Kirkland, WA",8,47.6859573,-122.1920249
"San Rafael, CA",7,37.9735346,-122.5310874
"San Bruno, CA",7,37.6261715,-122.4332435
"Huntersville, NC",7,35.4108278,-80.8429304
"Santa Cruz, CA",7,37.050096,-121.9905908
"Boulder, CO",7,40.0149856,-105.270545
"Redmond, WA",8,47.6694141,-122.1238767
"Concord, CA",8,37.9768525,-122.0335624
"Cambridge, MA",8,52.2055314,0.1186637
"Belmont, CA",12,37.5164926,-122.2941914
"South San Francisco, CA",9,37.6535403,-122.4168664
"Novato, CA",10,38.1061979,-122.5681191
"Dublin, CA",10,37.7021521,-121.9357918
"Pacifica, CA",10,37.6138253,-122.4869194
"Atlanta, GA",10,33.7489924,-84.3902644
"St. Louis, MO",11,38.6264256,-90.1995853
"Burlingame, CA",13,37.5780965,-122.3473099
"Los Altos, CA",13,37.3790629,-122.116578
"Bellevue, WA",13,47.6144219,-122.192337
"San Ramon, CA",14,37.7648021,-121.9544387
"Redwood City, CA",19,37.4863239,-122.232523
"Walnut Creek, CA",17,37.9020731,-122.0618702
"San Carlos, CA",17,37.504936,-122.261823
"Alameda, CA",20,37.6090291,-121.899142
"Foster City, CA",20,37.5600336,-122.2688522
"Santa Clara, CA",19,37.2333253,-121.6846349
"Portland, OR",20,45.5202471,-122.6741949
"Pleasanton, CA",21,37.6624312,-121.8746789
"Charlotte, NC",25,35.2272086,-80.8430827
"San Mateo, CA",29,37.496904,-122.3330573
"New York, NY",25,40.7127281,-74.0060152
"Menlo Park, CA",27,37.4519671,-122.1779927
"Austin, TX",28,30.2711286,-97.7436995
"Brooklyn, NY",29,40.6526006,-73.9497211
"Seattle, WA",32,47.6038321,-122.3300624
"Berkeley, CA",33,37.8753497,-122.2396336
"Sunnyvale, CA",41,37.3688301,-122.036349
"Palo Alto, CA",39,37.4443293,-122.1598465
"Fremont, CA",49,37.5482697,-121.988571
"Mountain View, CA",51,37.3893889,-122.0832101
"San Jose, CA",63,37.3361905,-121.890583
"Oakland, CA",87,37.8044557,-122.2713563
"San Francisco, CA",1236,37.7790262,-122.419906
